M 255 197 102 mala
V 162 244 255 velka
P 255 255 255 papousek
L 210 210 160 los
S 220 220 220 socha
R 255 220 190 robopes
w 255 255 255 white
y 255 255 128 yellow
d 120 120 120 dark grey
l 190 190 190 light grey
p 255 190 190 pink
b 150 100  40 brown
c 120 255 255 cyan
r 255 130 130 red
K 245 111 100 krab
H 120 200  50 snek
Z  90 210  50 pizla
g  20 245  50 green
m 200  80 210 magenta
0   255 197 102   162 244 255
1   128 128 255   255 255 128
2   255 180 100   255 255 128
3   255  96  96   255 180 100   
4   255 180 100   128 255 255
5   255 192 128   255 255 0
6   128 255 255   255 255 255
8   255 255 128   255  96  96
